line,time,score,numBroken,brokenInvariants,brokenSensors
=>130,7860000.000,0.000000,0,"[]","[]"
=>131,7920000.000,0.000000,0,"[]","[]"
=>132,7980000.000,0.000000,0,"[]","[]"
=>133,8040000.000,0.000000,0,"[]","[]"
=>134,8100000.000,0.000000,0,"[]","[]"
=>135,8160000.000,0.000000,0,"[]","[]"
=>136,8220000.000,0.000000,0,"[]","[]"
=>137,8280000.000,0.000000,0,"[]","[]"
=>138,8340000.000,0.000000,0,"[]","[]"
=>139,8400000.000,0.000000,0,"[]","[]"
=>140,8460000.000,0.000000,0,"[]","[]"
=>141,8520000.000,0.000000,0,"[]","[]"
=>142,8580000.000,0.000000,0,"[]","[]"
=>143,8640000.000,0.000000,0,"[]","[]"
=>144,8700000.000,0.000000,0,"[]","[]"
=>145,8760000.000,0.000000,0,"[]","[]"
=>146,8820000.000,0.000000,0,"[]","[]"
=>147,8880000.000,0.000000,0,"[]","[]"
=>148,8940000.000,0.000000,0,"[]","[]"
=>149,9000000.000,0.000000,0,"[]","[]"
=>150,9060000.000,0.000000,0,"[]","[]"
=>151,9120000.000,0.000000,0,"[]","[]"
=>152,9180000.000,0.000000,0,"[]","[]"
=>153,9240000.000,0.000000,0,"[]","[]"
=>154,9300000.000,0.000000,0,"[]","[]"
=>155,9360000.000,0.000000,0,"[]","[]"
=>156,9420000.000,0.000000,0,"[]","[]"
=>157,9480000.000,0.000000,0,"[]","[]"
=>158,9540000.000,0.000000,0,"[]","[]"
=>159,9600000.000,0.000000,0,"[]","[]"
=>160,9660000.000,0.000000,0,"[]","[]"
=>161,9720000.000,0.000000,0,"[]","[]"
=>162,9780000.000,0.000000,0,"[]","[]"
=>163,9840000.000,0.000000,0,"[]","[]"
=>164,9900000.000,0.000000,0,"[]","[]"
=>165,9960000.000,0.000000,0,"[]","[]"
=>166,10020000.000,0.000000,0,"[]","[]"
=>167,10080000.000,0.000000,0,"[]","[]"
=>168,10140000.000,0.000000,0,"[]","[]"
=>169,10200000.000,0.000000,0,"[]","[]"
=>170,10260000.000,0.000000,0,"[]","[]"
=>171,10320000.000,0.000000,0,"[]","[]"
=>172,10380000.000,0.000000,0,"[]","[]"
=>173,10440000.000,0.000000,0,"[]","[]"
=>174,10500000.000,0.000000,0,"[]","[]"
=>175,10560000.000,0.000000,0,"[]","[]"
=>176,10620000.000,0.000000,0,"[]","[]"
