time,ALARM_PERIOD,ALARM_TOTAL,C01_MV,C01_PV,C01_SV,C02_MV,C02_PV,C02_SV,C03_MV,C03_PV,C03_SV,C04_MV,C04_PV,C04_SV,C05_MV,C05_PV,C05_SV,C06_MV,C06_PV,C06_SV,C07_MV,C07_PV,C07_SV,C08_MV,C08_PV,C08_SV,C09_MV,C09_PV,C09_SV,C10_MV,C10_PV,C10_SV,C11_MV,C11_PV,C11_SV,C12_MV,C12_PV,C12_SV,C13_MV,C13_PV,C13_SV,C14_MV,C14_PV,C14_SV,C15_MV,C15_PV,C15_SV,C16_MV,C16_PV,C16_SV,C17_MV,C17_PV,C17_SV,C18_MV,C18_PV,C18_SV,C19_MV,C19_PV,C19_SV,C20_MV,C20_PV,C20_SV,FI105_F,FI106_F,FI107_F,FI202_F,FI252_F,FI307_F,FI308_F,FI310_F,FI406_F,FIC101_MV,FIC101_PV,FIC101_SV,FIC102_MV,FIC102_PV,FIC102_SV,FIC103_MV,FIC103_PV,FIC103_SV,FIC201_MV,FIC201_PV,FIC201_SV,FIC251_MV,FIC251_PV,FIC251_SV,FIC301_MV,FIC301_PV,FIC301_SV,FIC302_MV,FIC302_PV,FIC302_SV,FIC303_MV,FIC303_PV,FIC303_SV,FIC304_MV,FIC304_PV,FIC304_SV,FIC305_MV,FIC305_PV,FIC305_SV,FIC306_MV,FIC306_PV,FIC306_SV,FIC401_MV,FIC401_PV,FIC401_SV,FIC402_MV,FIC402_PV,FIC402_SV,FIC403_MV,FIC403_PV,FIC403_SV,FIC404_MV,FIC404_PV,FIC404_SV,FIC405_MV,FIC405_PV,FIC405_SV,LIC101_MV,LIC101_PV,LIC101_SV,LIC102_MV,LIC102_PV,LIC102_SV,LIC201_MV,LIC201_PV,LIC201_SV,LIC251_MV,LIC251_PV,LIC251_SV,LIC301_MV,LIC301_PV,LIC301_SV,LIC401_MV,LIC401_PV,LIC401_SV,LIC402_MV,LIC402_PV,LIC402_SV,LIC402B_MV,LIC402B_PV,LIC402B_SV,LIC403_MV,LIC403_PV,LIC403_SV,MERIT_V01,MERIT_V02,MERIT_V06,MONITOR_Abnormal,OPERATE_PERIOD,OPERATE_TOTAL,PI106_P,PIC101_MV,PIC101_PV,PIC101_SV,PIC102_MV,PIC102_PV,PIC102_SV,PIC201_MV,PIC201_PV,PIC201_SV,PIC301_MV,PIC301_PV,PIC301_SV,PIC401_MV,PIC401_PV,PIC401_SV,QI101_Q,QI101_Qs,QI102_Q,QI102_Qs,QI103_Q,QI103_Qs,QI104_Q,QI104_Qs,QI105_Q,QI105_Qs,QI106_Q,QI106_Qs,QI301_Q,QI301_Qs,QI302_Q,QI302_Qs,QI401_Q,QI401_Qs,QI402_Q,QI402_Qs,QI403_Q,QI403_Qs,QI404_Q,QI404_Qs,QI405_Q,QI405_Qs,QIC101_MV,QIC101_PV,QIC101_SV,QIC102_MV,QIC102_PV,QIC102_SV,QIC103_MV,QIC103_PV,QIC103_SV,QIC104_MV,QIC104_PV,QIC104_SV,QIC105_MV,QIC105_PV,QIC105_SV,QIC401_MV,QIC401_PV,QIC401_SV,TI101_T,TI105_T,TI106_T,TIC102_MV,TIC102_PV,TIC102_SV,TIC103_MV,TIC103_PV,TIC103_SV,TIC104_MV,TIC104_PV,TIC104_SV,TIC201_MV,TIC201_PV,TIC201_SV,TIC202_MV,TIC202_PV,TIC202_SV,TIC301_MV,TIC301_PV,TIC301_SV,TIC302_MV,TIC302_PV,TIC302_SV,TIC401_MV,TIC401_PV,TIC401_SV,TIC402_MV,TIC402_PV,TIC402_SV
281946000,1,6048.666667,52.31872159,0,0,19.84747381,0,0,77.34187506,0,0,0,0,0,49.04656704,0,0,57.56454596,0,0,21.34689287,0,0,46.6384383,0,0,41.18698241,0,0,64.09864124,0,0,69.61797516,0,0,100,0,0,100,0,0,91.88896547,0,0,68.08808072,0,0,72.58788886,0,0,57.96123755,0,0,77.6108099,0,0,0,0,0,0,0,0,25.9741328,25.53031763,21.32933583,21.98754851,10.08849633,0.10076009,21.39201583,12.40819054,0.915038302,52.2830836,0.982870044,0.981030083,19.60170961,7.504583129,7.481067158,77.34169409,1.402768001,1.402791608,57.5515026,8.12294749,8.122850365,21.25542455,1.980249538,1.980312515,46.63100785,2.602772991,2.6,40.96181566,51.66813932,51.65,63.9432321,6.065560038,6.062876036,69.6238614,4.283714567,4.283847236,100,11.90390572,11.89713622,100,9.505697053,9.519760077,91.66267183,7.763154327,7.755309589,68.05584068,3.947869661,3.947890189,72.57416876,25.29694972,25.3,58.03183253,7.405506774,7.40547018,0,0,0,34.16759438,59.93849107,60,20.10578059,59.89068967,60,57.55649232,50.35162366,50,21.28111106,48.81036445,50,69.62213218,49.80211689,50,58.02887932,49.97321489,50,72.57563209,50.43698633,50.43700771,68.06222629,50.43689689,50,78.01078966,49.95141435,50,1873.712924,358.2655941,1855.704379,0,0,2,786.9190196,77.34204894,885.5538636,885,30.14588072,298.9313982,300.4496018,91.63487916,619.7062422,620,64.00025913,892.2517283,892.2444202,32.90727663,124.2893753,124.1,7.514787329,7.531015442,0.402,0.39512274,21.69133333,21.59033698,58.998,58.981284,11.268,11.10906749,4.997977887,4.999386099,26.36966667,26.36175632,0.479666667,0.480723402,1.332666667,1.496508592,121.96849,150.4733404,3.926333333,3.927899464,525.1113333,524.8680798,525.1003333,524.8583298,49.05593984,7.514289031,7.5,100,0.402,0.402,60.63015344,21.69133333,21.6,0,58.998,58.998,0,11.268,11.268,77.55706465,1.332666667,1.332666667,94.47765917,155.8735269,205.3743928,34.65363813,148.126571,148.5,60.12539223,158.766057,158.9,63.10843792,135.4455692,136,58.40828858,43.75418439,44.5,0,70.13443339,70.13438368,63.39184983,24.5616444,25,47.95570574,24.63910201,25,77.55662977,114.7433877,117,48.76806449,48.51916095,49.35851531
281952000,1,6049,52.23090808,0,0,19.46629563,0,0,77.29207274,0,0,0,0,0,48.74308337,0,0,57.61516913,0,0,23.81491001,0,0,46.75778743,0,0,41.16459051,0,0,65.69231895,0,0,69.90781295,0,0,100,0,0,100,0,0,91.69930563,0,0,69.43776729,0,0,72.84595501,0,0,57.05875424,0,0,77.5465211,0,0,0,0,0,0,0,0,25.99789013,25.4512748,21.38104761,22.05716489,10.09558582,0.09955555,21.46099598,12.42405225,0.915694975,52.18855113,0.980310211,0.973820081,19.12696147,7.544908505,7.48127546,77.28188429,1.402647548,1.402592163,57.60921673,8.149060683,8.149950331,23.73105373,2.193095954,2.193078329,46.71833013,2.592235949,2.6,41.06819681,51.68267838,51.65,65.48951941,6.224078441,6.234961508,69.87650298,4.279834354,4.279957457,100,11.96180602,11.96667034,100,9.566927434,9.564458692,91.61854392,7.779211225,7.75456841,69.30626001,4.014223486,4.014253372,72.84494388,25.29913514,25.3,57.10282421,7.31294554,7.312887999,0,0,0,34.29575688,59.94123493,60,19.93374214,60.05450361,60,57.60692841,50.02491991,50,23.76317781,48.4070078,50,69.89324374,50.35816112,50,57.09582952,49.40391587,50,72.84481738,51.12913899,51.12932898,69.32169942,51.12913899,50,78.31682998,50.26047824,50,1818.588329,303.1409985,1794.200865,0,0,2,786.9356093,77.293352,886.5502174,885,30.41023254,297.4028087,299.610429,91.90627105,620.2611634,620,65.56530174,894.1970084,894.1725128,32.55968261,124.3251061,124.1,7.56552565,7.553794526,0.397625,0.394629223,21.860625,21.57361617,59.003125,58.90527712,11.1745,11.20484657,5.041424557,5.045878488,26.3735,26.3409291,0.479,0.479698435,1.43375,1.558136103,140.2165013,147.9205202,3.926125,3.934377101,524.35775,528.9944318,524.401125,528.9755655,48.78985328,7.558280851,7.5,100,0.397625,0.397625,62.42972364,21.860625,21.6,0,59.003125,59.003125,0,11.1745,11.1745,77.54604556,1.43375,1.43375,94.95596765,155.7842551,205.3826768,34.84960477,148.4502095,148.5,59.93247179,158.8075014,158.9,62.98143792,135.9479148,136,57.69832707,44.50373642,44.5,0,70.45675149,70.45665882,62.90136553,25.3434905,25,47.30339419,24.92882623,25,77.54600878,115.2743018,117,48.55669079,49.37599647,48.83731364
281958000,0.444444444,6049,52.19356313,0,0,19.01291069,0,0,77.2830956,0,0,0,0,0,48.68106125,0,0,57.1125265,0,0,26.78949071,0,0,46.75809142,0,0,41.03819952,0,0,67.82543488,0,0,70.71732861,0,0,100,0,0,100,0,0,91.73845791,0,0,71.13696871,0,0,72.76409511,0,0,56.36481617,0,0,77.71567769,0,0,0,0,0,0,0,0,25.99388672,25.49793914,21.38349844,22.1226153,10.10294108,0.101072114,21.50450399,12.42373783,0.932919426,52.13662981,0.980270864,0.973630564,19.24633654,7.488042026,7.478139323,77.2853249,1.402049111,1.402067494,57.15666695,8.103448734,8.104676629,26.62446212,2.444352458,2.444392908,46.68868133,2.594760672,2.6,41.06195448,51.61220807,51.65,67.88580983,6.418460074,6.422181727,70.68193225,4.320884842,4.320757293,100,11.92038776,11.91868209,100,9.557085743,9.534208764,91.78626936,7.772095328,7.771424213,71.11932969,4.110440493,4.110456894,72.76950458,25.30185574,25.3,56.37649661,7.226102304,7.226092512,0,0,0,34.30022419,59.99535937,60,19.60892479,60.00904628,60,57.14686311,49.61893246,50,26.66519054,47.98949295,50,70.69253861,50.55419258,50,56.37441651,49.58653238,50,72.76877153,51.02696602,51.02672292,71.12961784,51.02714017,50,79.01536029,50.46841273,50,1776.488474,261.0411437,1733.493793,0,0,2,787.1040547,77.27893214,885.9274736,885,30.6601044,299.9001862,295.0857811,91.86821669,619.6264655,620,67.84419233,892.7324365,892.7351195,32.43471782,124.1541388,124.1,7.566378454,7.57863038,0.378333333,0.393902093,22.01633333,21.58321574,59.00133333,58.97400774,11.077,11.08042399,5.03045023,5.02544265,26.35066667,26.34726348,0.478666667,0.479052888,1.525666667,1.625968589,150.6884067,143.7165426,3.930333333,3.933175265,526.3666667,530.6037944,526.5403333,530.6035535,48.65010503,7.572369465,7.5,100,0.378333333,0.378333333,64.22834356,22.01633333,21.6,0,59.00133333,59.00133333,0,11.077,11.077,77.71478137,1.525666667,1.525666667,94.45094766,156.1759196,205.3957397,35.02718705,148.6203175,148.5,59.00589811,159.2149535,158.9,62.81605762,136.2345976,136,57.51158713,44.09581561,44.5,0,70.65403063,70.65352788,63.38108432,24.76725555,25,46.877775,25.00559368,25,77.71473447,114.6532585,117,49.37481395,48.90913265,48.65145799
281964000,0,6049,51.97309109,0,0,19.77306448,0,0,77.2698112,0,0,0,0,0,48.62680839,0,0,56.33544578,0,0,29.82852794,0,0,46.55171678,0,0,40.93769483,0,0,67.46830109,0,0,71.74597806,0,0,100,0,0,100,0,0,92.50097777,0,0,72.22042501,0,0,72.78055292,0,0,56.07682799,0,0,77.7405152,0,0,0,0,0,0,0,0,25.93963782,25.25349991,21.32486218,22.04835196,10.10574153,0.099998996,21.36414961,12.38807368,0.954333994,52.10623377,0.974865148,0.971667053,19.45427959,7.477883397,7.487871845,77.26131704,1.404001217,1.403981749,56.38139724,8.007546976,8.008958228,29.68329178,2.705501743,2.705555654,46.58475756,2.602381442,2.6,41.0891577,51.57973639,51.65,67.49280849,6.377139294,6.303817071,71.672913,4.37939177,4.37925156,100,11.92346621,11.90383173,100,9.530210497,9.537905083,92.31063526,7.776960345,7.774727155,72.21843464,4.188957421,4.189101592,72.7719712,25.29773364,25.3,56.07950239,7.194294877,7.194293474,0,0,0,34.26525201,60.01895009,60,20.35133662,59.90000472,60,56.36947591,49.39694762,50,29.72443212,47.84138282,50,71.70728886,50.71414576,50,56.07905687,49.88390843,50,72.77289604,50.40358483,50.40317324,72.21866898,50.4038107,50,79.57462909,50.31697786,50,1704.157254,188.6674089,1649.990842,0,0,2,786.6426361,77.26615787,885.7476465,885,29.90640135,297.3502452,303.9138821,91.66869335,620.127636,620,67.42287024,893.4926135,893.5728866,32.30595904,124.2344207,124.1,7.562369869,7.566116122,0.415,0.395457687,21.87025,21.56825237,58.988125,58.93971972,11.07275,11.14331764,5.060445537,5.062379873,26.340875,26.32383527,0.478375,0.481226954,1.586625,1.60854402,145.0776863,130.1610764,3.933875,3.931907282,529.924125,531.617779,530.042125,531.6090658,48.58871533,7.570780739,7.5,100,0.415,0.415,63.03971995,21.87025,21.6,0,58.988125,58.988125,0,11.07275,11.07275,77.74420838,1.586625,1.586625,94.84822426,155.7794117,205.3739668,34.71862434,148.6044094,148.5,60.77895476,158.463209,158.9,63.29382611,135.4168921,136,57.1311647,44.29828145,44.5,0,70.35731942,70.35703058,63.4380723,25.19721151,25,47.00018622,25.00089212,25,77.74455281,114.9686906,117,49.64861434,48.69533105,48.45744778
281970000,0,6049,52.10879016,0,0,19.53580635,0,0,77.31319793,0,0,0,0,0,48.84880304,0,0,54.54377666,0,0,34.57542795,0,0,46.60640638,0,0,41.04157761,0,0,64.46535647,0,0,73.25359842,0,0,100,0,0,100,0,0,91.8460945,0,0,69.53689705,0,0,72.81910084,0,0,55.80697361,0,0,77.53567874,0,0,0,0,0,0,0,0,26.02925105,25.53374322,21.38600562,22.02384476,10.12805043,0.102283804,21.39404851,12.21546256,0.956025689,52.04033919,0.98178923,0.976571513,19.15041739,7.52485067,7.495649905,77.31013885,1.40557788,1.405602524,54.64801992,7.752879979,7.751658802,34.31994256,3.108896629,3.109026346,46.59176953,2.600767117,2.6,41.01801018,51.6577468,51.65,64.38656917,6.0965537,6.105349243,73.18499088,4.467940984,4.467971796,100,12.0022801,12.03119071,100,9.591027032,9.61302775,91.83755029,7.768790997,7.754626031,69.7454062,4.055032188,4.054897901,72.82958283,25.30202957,25.3,55.83472205,7.168693761,7.168703642,0,0,0,34.14816622,60.05693528,60,19.86925099,59.95143105,60,54.62462564,48.80664822,50,34.3763499,46.8346045,50,73.20177387,51.03986274,50,55.83062929,49.73790082,50,72.82859132,48.15702147,48.15705702,69.71944446,48.15716494,50,79.62177377,49.97406745,50,1469.864442,-45.65525156,1267.827403,0,0,2,786.3379884,77.3168269,883.558221,885,30.24650056,300.7912293,300.1567398,92.02625681,619.9572188,620,64.47175851,893.8297423,893.8959105,32.24865218,124.0303523,124.1,7.504789325,7.5460083,0.393666667,0.39825475,21.66533333,21.57337868,58.94666667,58.94884589,11.03,11.13970894,4.99880766,4.996337171,26.342,26.36111309,0.478666667,0.485028511,1.625,1.502242673,138.4994833,110.8113769,3.931666667,3.929051942,530.9456667,532.323674,530.9756667,532.3287539,48.8730086,7.505176582,7.5,100,0.393666667,0.393666667,61.05450736,21.66533333,21.6,0,58.94666667,58.94666667,0,11.03,11.03,77.54140595,1.625,1.625,95.3542065,156.1910828,205.3607978,34.56255409,148.7748178,148.5,60.03602923,158.8158574,158.9,62.26779535,137.1425998,136,57.32913524,44.89383547,44.5,0,71.11202502,71.11206851,64.15948291,25.38085288,25,47.40024668,25.26461689,25,77.54187933,116.4388722,117,51.03736825,49.1452205,48.37412258
281976000,0,6049,52.01484629,0,0,20.08703375,0,0,77.31747418,0,0,0,0,0,48.75353839,0,0,53.04635047,0,0,38.93679876,0,0,46.54105673,0,0,40.84831373,0,0,64.6752669,0,0,74.60363993,0,0,100,0,0,100,0,0,91.84412419,0,0,66.82486918,0,0,72.41675989,0,0,55.02141958,0,0,77.31039139,0,0,0,0,0,0,0,0,25.90451502,25.47458923,21.28920909,21.99279037,10.14091423,0.100792864,21.4626243,12.1051013,0.949141727,51.97555892,0.982758786,0.977217777,20.00170016,7.430101539,7.50667364,77.33405768,1.407664219,1.407637791,53.10129223,7.558053799,7.558316623,38.75909975,3.492292803,3.492426056,46.51383972,2.598303414,2.6,40.87037701,51.70075023,51.65,64.79168741,6.140647637,6.03485486,74.58218457,4.552027727,4.551985522,100,11.88700915,11.8928958,100,9.483798798,9.463758124,91.76181541,7.728743549,7.731702026,66.92726647,3.903459069,3.903565393,72.42856719,25.30280349,25.3,55.05108157,7.072956901,7.072978754,0,0,0,33.93593456,60.11131892,60,20.51031055,59.88861008,60,53.08632481,49.06483791,50,38.80839672,47.17797737,50,74.56918318,50.76155289,50,55.0465874,49.51840515,50,72.42669716,48.25835134,48.25835665,66.90533626,48.25823297,50,79.14799601,49.62926104,50,1094.329993,-421.1868225,894.3178189,0,0,2,785.8810807,77.31802262,884.5118287,885,30.26839098,298.9532449,300.0452613,91.60843691,619.9002937,620,64.86313362,893.1769627,893.160923,32.540595,123.8073993,124.1,7.525886898,7.540628926,0.387125,0.399864531,21.58025,21.57320108,58.942875,58.93385132,11.062125,11.20078609,5.005076703,5.006627865,26.33425,26.35012055,0.48175,0.486777456,1.560625,1.339347615,120.7675425,99.91214549,3.929875,3.923994858,532.01975,529.8504917,532.05775,529.863953,48.72480547,7.532121274,7.5,100,0.387125,0.387125,60.29317793,21.58025,21.6,0,58.942875,58.942875,0,11.062125,11.062125,77.31408511,1.560625,1.560625,95.21755182,155.8606805,205.3395945,34.08458908,148.9255167,148.5,59.99139721,158.8308166,158.9,61.94881888,135.4761308,136,57.30308573,44.53140871,44.5,0,70.97662363,70.9762759,64.37389371,25.15166257,25,48.46662247,25.47252791,25,77.31438975,117.7814757,117,51.31684466,48.27052215,48.81433447
281982000,0,6049,51.97928513,0,0,20.02984536,0,0,77.22947155,0,0,0,0,0,48.40028361,0,0,52.27618264,0,0,42.23686709,0,0,46.40114414,0,0,41.06650666,0,0,60.36823899,0,0,75.50126132,0,0,100,0,0,100,0,0,91.6315081,0,0,65.14890695,0,0,72.34189588,0,0,54.94024259,0,0,77.17327822,0,0,0,0,0,0,0,0,25.98738273,25.43812342,21.38312635,22.12521023,10.08507462,0.099484111,21.49504669,12.03134822,0.926339966,51.90100482,0.976368292,0.966748832,19.96638401,7.447197719,7.472749638,77.22374299,1.401296499,1.401204627,52.27277848,7.42601482,7.423623233,42.16510242,3.790931471,3.791036382,46.3015125,2.608899505,2.6,41.02315089,51.6477999,51.65,60.44528041,5.703341457,5.734622049,75.44358042,4.604948696,4.605230548,100,11.94223392,11.93734318,100,9.558644555,9.552331131,91.82560863,7.704225635,7.71840281,65.13058898,3.795258226,3.79525174,72.34432323,25.30063816,25.3,54.92422214,7.064495283,7.064507589,0,0,0,33.52384263,60.19929583,60,19.42492455,60.45007197,60,52.2682025,49.61529225,50,42.19713388,48.0363841,50,75.45252773,50.64756338,50,54.93116056,50.00138259,50,72.34404461,49.15639967,49.15653487,65.12095644,49.15622616,50,78.36372263,49.48684527,50,763.7322432,-751.7150868,622.6484516,0,0,2,787.3181026,77.22117916,887.9033145,885,30.26843698,298.0616775,295.8110354,91.84812477,620.163789,620,60.40391869,893.9430581,893.9543362,32.72740986,124.1142192,124.1,7.592395269,7.560518314,0.417333333,0.392170192,21.30266667,21.58285867,58.93466667,59.02161701,11.17,11.08366021,5.06183338,5.06449018,26.365,26.30017181,0.487333333,0.47636638,1.434,1.200988803,105.2596433,107.3485436,3.926333333,3.923812618,531.3956667,525.4474347,531.296,525.4646719,48.35378768,7.594913716,7.5,100,0.417333333,0.417333333,57.34163185,21.30266667,21.6,0,58.93466667,58.93466667,0,11.17,11.17,77.17282463,1.434,1.434,94.77429695,155.4492371,205.4296294,34.1546042,148.0679808,148.5,59.33717204,159.1041741,158.9,62.42770032,135.6141679,136,57.14338901,44.18165056,44.5,0,70.58889315,70.58921576,64.44352504,24.77482329,25,49.17458311,25.01768578,25,77.17277613,118.3947374,117,49.77996544,48.72830239,49.09070033
281988000,0,6049,51.90149036,0,0,19.93445673,0,0,77.18683415,0,0,0,0,0,48.31034776,0,0,52.52411961,0,0,43.62037548,0,0,46.10232984,0,0,41.14516889,0,0,63.37998822,0,0,75.98007695,0,0,100,0,0,100,0,0,91.75111262,0,0,65.54596635,0,0,72.33301918,0,0,55.29964093,0,0,77.18020945,0,0,0,0,0,0,0,0,26.06261293,25.62206053,21.42684892,22.05839171,10.01811436,0.100239202,21.40568672,12.07267805,0.90805382,52.00326604,0.965053358,0.966844058,19.52531745,7.506084952,7.459117595,77.18495637,1.398819832,1.39874751,52.47977634,7.420924469,7.421331247,43.63465554,3.93106867,3.931118811,46.27810836,2.601393571,2.6,41.15219683,51.59721934,51.65,63.27401965,6.008234247,6.02067889,75.97326867,4.650280815,4.650313253,100,11.96297548,11.97747915,100,9.5821162,9.595960739,91.84629081,7.703275549,7.717351671,65.43973315,3.814113654,3.814132575,72.3329191,25.29985673,25.3,55.27728966,7.08449285,7.084520548,0,0,0,33.1190031,60.19249543,60,19.48027215,59.85112941,60,52.4853175,50.18318163,50,43.64535159,49.12618857,50,75.97454664,50.18174586,50,55.28128515,50.28450765,50,72.33325276,50.22780359,50.22793302,65.44521061,50.22773093,50,77.81552281,49.69919235,50,608.4315511,-907.0222593,572.7942086,0,0,2,787.6965447,77.19109904,886.8680565,885,30.32095673,299.1942014,296.1824546,92.04338902,620.4940653,620,63.41120674,894.113793,894.1130008,32.60694425,124.2167335,124.1,7.576853247,7.568345395,0.406,0.390041332,21.59775,21.57407867,58.970125,59.01021136,11.112625,11.08316816,5.042365002,5.040549846,26.321375,26.30972693,0.4815,0.473949602,1.27325,1.067853443,102.726015,123.9206103,3.923,3.925849669,527.585875,524.8019375,527.417375,524.7993816,48.36070717,7.576992928,7.5,100,0.406,0.406,60.20680541,21.59775,21.6,0,58.970125,58.970125,0,11.112625,11.112625,77.17526907,1.27325,1.27325,94.63401045,155.8784026,205.4684022,34.93619246,148.0363838,148.5,59.23516884,159.1351543,158.9,62.66315931,136.4045854,136,56.69957393,44.28756036,44.5,0,70.43212116,70.43234416,63.35255665,24.5600266,25,48.12764103,24.59078004,25,77.17509769,118.1125263,117,49.18625572,48.29489,48.90900195
281994000,0.555555556,6049.888889,51.88826064,0,0,20.10579984,0,0,77.18023023,0,0,0,0,0,48.55872548,0,0,52.96630521,0,0,44.34812528,0,0,46.35426004,0,0,41.13465939,0,0,66.03791517,0,0,76.42625622,0,0,100,0,0,100,0,0,92.40350559,0,0,65.70650894,0,0,72.39308327,0,0,55.51657814,0,0,77.30089746,0,0,0,0,0,0,0,0,25.98033284,25.46209938,21.38574534,22.09807525,10.01072451,0.099418802,21.49461678,12.14911864,0.901706569,51.91732747,0.970384745,0.97061091,20.123837,7.45109475,7.472732747,77.1767427,1.401271434,1.401295724,52.97586239,7.47557313,7.476994403,44.27063976,3.990662597,3.99065556,46.2853422,2.597106285,2.6,41.1106713,51.61614593,51.65,65.92626846,6.189272851,6.246860195,76.38177427,4.665412323,4.665238521,100,11.90991375,11.90906716,100,9.544154854,9.523690974,92.36020623,7.701051632,7.728899004,65.78259172,3.818693594,3.818713753,72.39497803,25.30017158,25.3,55.53692387,7.126435658,7.126438709,0,0,0,32.90788364,60.10243184,60,20.203626,59.8759663,60,52.9844944,50.30512827,50,44.271843,49.58106909,50,76.38416328,50.26967985,50,55.5362769,50.0423825,50,72.39421383,50.15317482,50.15299378,65.78942423,50.15234666,50,77.86214014,50.10543589,50,559.8640356,-955.5832944,526.2585498,0,0,2,787.2261896,77.17958798,885.5578681,885,29.71386812,298.5100657,304.5579665,91.8492606,619.8677715,620,65.95129034,892.477599,892.4517518,32.55628724,123.9501896,124.1,7.536602184,7.54459294,0.366333333,0.392075027,21.81833333,21.55440385,59.02966667,58.99464992,10.98766667,11.02232635,5.030004595,5.028117714,26.30066667,26.30973976,0.474,0.476811407,1.147333333,0.944121874,114.71545,137.5352816,3.923666667,3.928147456,524.601,526.9473735,524.4663333,526.9252473,48.49582828,7.536891853,7.5,100,0.366333333,0.366333333,62.4720675,21.81833333,21.6,0,59.02966667,59.02966667,0,10.98766667,10.98766667,77.28730385,1.147333333,1.147333333,94.13692153,155.8961986,205.4584084,34.88998789,148.8653173,148.5,60.45893653,158.6058873,158.9,63.0397385,135.5295005,136,55.86783571,43.8589368,44.5,0,70.81183089,70.81185241,61.15424444,24.22224516,25,47.65830114,25.18467691,25,77.28745756,117.3114114,117,50.03932822,49.53263026,48.8370248
282000000,1,6050,51.76196561,0,0,20.25603235,0,0,77.17410009,0,0,0,0,0,48.58744438,0,0,53.85474634,0,0,43.60119307,0,0,46.01433442,0,0,41.07997947,0,0,66.53842561,0,0,76.4090553,0,0,100,0,0,100,0,0,92.31616246,0,0,67.3362915,0,0,72.29660695,0,0,55.47093357,0,0,77.3115647,0,0,0,0,0,0,0,0,25.94778096,25.28656761,21.33756196,22.07653252,10.01216356,0.10097826,21.41341257,12.25599671,0.913581495,51.91946192,0.971401524,0.973410051,19.98953752,7.491963244,7.492708196,77.18837677,1.404940132,1.404945929,53.7791585,7.578081366,7.578867202,43.72546661,3.957028808,3.957025666,46.10338534,2.603833796,2.6,41.12974851,51.58139722,51.65,66.79842302,6.368702792,6.207361735,76.41502021,4.671875169,4.67187289,100,11.9136554,11.89414339,100,9.532782032,9.531949922,92.19283701,7.757059605,7.73024242,67.1636094,3.897804472,3.897858533,72.29777256,25.30038695,25.3,55.44121418,7.142440053,7.142427073,0,0,0,32.92880975,59.98877269,60,20.05559316,59.88441648,60,53.79240723,50.63193339,50,43.70723026,50.65134205,50,76.41412343,50.00057532,50,55.44559051,50.13547574,50,72.29768249,51.17323798,51.17315492,67.18037739,51.17294328,50,78.59096596,50.54863146,50,572.7315353,-942.7031403,642.2182723,0,0,2,786.4283608,77.1679181,885.7776586,885,31.04999305,299.0461426,293.1036167,91.69469321,619.7316495,620,66.734198,893.6190762,893.534616,33.01051319,123.7779078,124.1,7.516568937,7.513871026,0.362375,0.397401253,21.748625,21.57189259,59.053875,59.00571933,10.94325,11.17844425,4.975078141,4.976645473,26.3135,26.34092237,0.474375,0.483428294,1.010375,0.851778534,130.7100262,146.6478503,3.926125,3.92511914,525.744,530.1451567,525.839375,530.1459544,48.57758654,7.517091004,7.5,100,0.362375,0.362375,62.00219291,21.748625,21.6,0,59.053875,59.053875,0,10.94325,10.94325,77.30660239,1.010375,1.010375,95.13038578,155.8529507,205.433271,34.19722481,149.0496738,148.5,58.62957934,159.3461209,158.9,62.92679076,136.0867107,136,55.92297121,44.75557834,44.5,0,71.45411651,71.456767,60.46732216,24.95764906,25,49.15476708,25.66110635,25,77.30615088,117.1621843,117,50.31752786,49.49935491,49.51921656
