symbol,name,open,high,low,price,vol,percent_change,trend
NVDA,NVIDIA Corporation,296.739990234375,300.29998779296875,293.3056945800781,294.1099853515625,1374795,-0.886299443743742,/static/stocks/data/nvda/trend.png
AAPL,Apple Inc,178.75,179.22999572753906,177.25999450683594,177.57000732421875,3659824,-0.6601357626748252,/static/stocks/data/aapl/trend.png
MSFT,Microsoft Corporation,338.510009765625,339.3550109863281,335.8500061035156,336.32000732421875,1114873,-0.646953525221469,/static/stocks/data/msft/trend.png
AMZN,Amazon.com Inc,3370.195068359375,3387.0,3331.169921875,3334.340087890625,231255,-1.0638844263161407,/static/stocks/data/amzn/trend.png
GLD,,170.52999877929688,171.0399932861328,170.0399932861328,170.9600067138672,1602687,0.25215970072622634,/static/stocks/data/gld/trend.png
GOOGL,Alphabet Inc,2921.0,2933.969970703125,2897.0400390625,2897.0400390625,119291,-0.8202656945395412,/static/stocks/data/googl/trend.png
PSX,Phillips 66,72.25,73.05000305175781,72.05049896240234,72.45999908447266,153420,0.29065617228049306,/static/stocks/data/psx/trend.png
FB,Meta Platforms Inc.,343.0150146484375,343.44000244140625,336.2699890136719,336.3500061035156,920453,-1.9430661225582113,/static/stocks/data/fb/trend.png
F,Ford Motor Company,20.459999084472656,21.01000022888184,20.459999084472656,20.770000457763672,3163944,1.5151582950278792,/static/stocks/data/f/trend.png
GOOG,Alphabet Inc,2909.125,2927.300048828125,2893.550048828125,2893.590087890625,113173,-0.5340063458729,/static/stocks/data/goog/trend.png
PLTR,Palantir Technologies Inc,18.61000061035156,18.920000076293945,18.209999084472656,18.209999084472656,1313386,-2.149390181408201,/static/stocks/data/pltr/trend.png
