timestamp,AMZN_open,AMZN_volume,SPY_open,SPY_volume,AAPL_open,AAPL_volume,GOOG_open,GOOG_volume,PSX_open,PSX_volume,FB_open,FB_volume,GOOGL_open,GOOGL_volume,MSFT_open,MSFT_volume,F_open,F_volume,IBM_open,IBM_volume,NVDA_open,NVDA_volume,GLD_open,GLD_volume,V_open,V_volume
2018-06-06T18:00:00+0000,2415.94,3529329.0,303.62,55696013.0,192.98,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-06T19:00:00+0000,2415.94,3529329.0,303.62,55696013.0,192.44,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-06T20:00:00+0000,2415.94,3529329.0,303.62,55696013.0,193.065,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-06T21:00:00+0000,2415.94,3529329.0,303.62,55696013.0,193.0,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-06T22:00:00+0000,2415.94,3529329.0,303.62,55696013.0,192.72,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-06T23:00:00+0000,2415.94,3529329.0,303.62,55696013.0,193.44,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-07T00:00:00+0000,2415.94,3529329.0,303.62,55696013.0,194.0,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-07T18:00:00+0000,2415.94,3529329.0,303.62,55696013.0,193.78,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-07T19:00:00+0000,2415.94,3529329.0,303.62,55696013.0,193.3,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
2018-06-07T20:00:00+0000,2415.94,3529329.0,303.62,55696013.0,193.32,38399532.0,1127.14,1838059.0,78.03,2470063.0,225.2,23322476.0,1140.07,1852522.0,182.73,42146720.0,5.75,92924374.0,123.67,7929905.0,263.09,18647994.0,123.16,12581762.0,134.84,6011214.0
